Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z2
Por la Expedición de Copias Certificadas de Escrituras Resguardadas en el Archivo General de Notarías,Secretaría de Gobierno,Dirección General del Archivo General de Notarías,1440.0,0.0,1.0,,1.0,1,0.14088559287035513
Cursos musicales EMEH,Secretaría de Cultura,Escuela de Música del Estado de Hidalgo,1440.0,1.0,0.0,,1.0,1,0.1345610515215638
Inscripción UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,10.0,3.0,2.0,Nivel 4.1,1.0,0,-0.5766337658476244
Titulación UTVM,Secretaría de Educación Pública,Universidad Tecnológica del Valle del Mezquital,259200.0,6.0,1.0,Nivel 1,1.0,1,0.9608122140361606
Reinscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,5.0,0.0,0.0,Nivel 3.5,1.0,0,-0.757727195808257
Solicitud de Examen de Admisión UTVAM,Secretaría de Educación Pública,Universidad Tecnológica de la Zona Metropolitana del Valle de México,2880.0,3.0,1.0,Nivel 1,1.0,1,0.2184494058420712
Solicitud de examen de admisión UTSH,Secretaría de Educación Pública,Universidad Tecnológica de la Sierra Hidalguense,1440.0,4.0,1.0,,1.0,1,0.42612695627081715
Prestación de servicios de la Alberca semiolímpica del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,60.0,3.0,3.0,Nivel 2,1.0,1,0.5585859199633116
Reposición de Credencial UPFIM,Secretaría de Educación Pública,Universidad Politécnica Francisco I. Madero,480.0,1.0,0.0,Nivel 1,1.0,1,0.25730032678752385
Constancia Escolar UTHH,Secretaría de Educación Pública,Universidad Tecnológica de la Huasteca Hidalguense,1455.0,1.0,0.0,,1.0,1,0.1353912368903612
Publicación en el Periódico Oficial de Avisos Judiciales que deberán publicarse por disposición de Ley.,Secretaría de Gobierno,Secretaría de Gobierno,20.0,0.0,0.0,Nivel 1,1.0,1,-0.21690125288526857
