Idtram,Tramite,Secretaria,Dependencia,Domicilio,TraPersona,Tiempo_en_minutos,N_FORMATOS_FINAL,CONTEO_NETO,nivel_digitalizacion,TraResolucionesFavorables,TraResolucionesNegativas,Porcentaje_Efectividad,TraCosto,Unnamed: 14,N,costo,nivel_digitalizacion_numT,tiempo_log,tiempo_bin,requisitos_bin,formatos_bin,nivel_tiempo,I_tiempo,I_tiempo_norm,Complejidad_tPCA,Complejidad_tPCA_norm,indice_tiempo,tiempo_0.3,tiempo_0.5,tiempo_0.7,rank_03,rank_05,rank_07,cambio,indice_base,dominancia,sensibilidad,tipo_analisis,tipo_dominancia,I_requisitos,I_formatos,I_digital,I_costo,I_requisitos_norm,I_formatos_norm,I_digital_norm,I_costo_norm,indice_complejidad,indice_complejidad_w,indice_sin_costo,rank_con,rank_sin,indice_complejidad_costo,digital_norm,indice_complejidad_ajuste,Complejidad_F1PCA,Complejidad_F1PCA_norm,I_requisitos_norm_z,I_formatos_norm_z,indice_tiempo_z,digital_norm_z,costo_z,indice_z,suma_N,suma_N_z,indice_z2,rank_z,rank_z2,cluster
7433.0,Constancia Escolar ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,"Calle sin numero El Saucillo Huichapan, Hgo. 42411 Huichapan Huichapan",Social,1440.0,0.0,1.0,Nivel 1,235.0,0.0,100.0,VERDADERO,,1.0,1.0,1.0,7.273092595999522,"(6.579, 8.224]",0,0,0.09179778444881154,1.3639886036055924,0.6559398647502834,0.645434726469701,0.9108641819909257,0.3738688245995475,0.2610404085392531,0.3738688245995475,0.4866972406598418,301.0,292.0,287.0,16.0,0.3738688245995475,0.5641420803014718,14.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,0.9314425368947573,0.35774963506849783,0.18293853110111424,0.17116739925186739,0.14330354688063304,0.2977600207297401,0.23380766451258048,0.047363293652216115,0.21781957545829056,138.5,188.0,1.8712783018331622,0.9285714285714286,2.656546183523958,-0.40653328467377353,0.19602280436268946,-0.6876167590336074,-0.331019129974109,-0.11836896865719482,0.3558480270647023,0.655332548135531,-0.025164856492935584,0.35410593035298166,-0.6481640977248074,0.06116187720455776,342.5,358.5,1
7434.0,Examen de Egreso de Licenciatura UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,20.0,0.0,1.0,Nivel 4.1,452.0,0.0,100.0,VERDADERO,,1.0,1.0,12.0,3.044522437723423,"(1.645, 3.29]",0,0,-1.3012860250986082,1.8846665238145945,0.9063330158789191,-1.0214474997012946,0.6701800732581964,-0.19747650460984456,-0.6390003128053501,-0.19747650460984456,0.24404730358566085,77.5,72.5,142.5,0.0,-0.19747650460984456,2.2076190409775274,65.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,3.6094152827596893,0.35774963506849783,0.18293853110111424,0.17116739925186739,0.5553128525877803,0.2977600207297401,0.2019404598121315,0.03582457886482708,0.17798556958272935,118.5,153.5,1.7119422783309175,0.1428571428571429,1.2994865686002801,0.8485923221993965,0.3783002838618919,-0.6876167590336074,-0.331019129974109,-1.2306214890165004,-2.8737156428835626,0.655332548135531,-0.8935280945544497,0.35410593035298166,-0.6481640977248074,-1.0242921703723349,7.5,7.5,0
7437.0,Constancia Escolar UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Bárbara 43830 Rancho Luna Zempoala,Social,1440.0,0.0,3.0,Nivel 3.7,200.0,0.0,100.0,VERDADERO,,3.0,1.0,9.0,7.273092595999522,"(6.579, 8.224]",1,0,0.09179778444881154,1.3639886036055924,0.6559398647502834,0.645434726469701,0.9108641819909257,0.3738688245995475,0.2610404085392531,0.3738688245995475,0.4866972406598418,301.0,292.0,287.0,-23.0,0.3738688245995475,0.5641420803014718,14.0,Dominado por rareza,Rareza,1.157452788691043,0.7794752640484426,3.3217332103079085,0.35774963506849783,0.2821753605887091,0.17116739925186739,0.5110526221137135,0.2977600207297401,0.3272048454567155,0.0702397019074785,0.33456605163845937,290.5,392.5,2.3382642065538377,0.3571428571428571,2.184354441582981,0.8212521740374985,0.3743297702584761,-0.0973758529317829,-0.331019129974109,-0.11836896865719482,-1.9929255510794905,0.655332548135531,-0.3768713909014093,0.4533427598405765,-0.26647241726979976,-0.43060859721773853,139.5,116.5,0
7442.0,Equivalencia de Estudios UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,15.0,0.0,3.0,Nivel 3.7,13.0,0.0,100.0,VERDADERO,,3.0,1.0,9.0,2.772588722239781,"(1.645, 3.29]",1,0,-1.3908733896522987,1.8846665238145945,0.9063330158789191,-1.0848430164208476,0.661026281106758,-0.24227018688668978,-0.7017114679929333,-0.24227018688668978,0.21717109421955372,44.5,41.5,41.5,-4.0,-0.24227018688668978,2.2972064055312176,3.0,Dominado por rareza,Rareza,1.157452788691043,0.7794752640484426,3.3217332103079085,0.35774963506849783,0.2821753605887091,0.17116739925186739,0.5110526221137135,0.2977600207297401,0.20397704315946807,0.034825633150509384,0.18053129876690005,121.5,157.5,1.7221251950676004,0.3571428571428571,1.568215430096744,0.9231625951716942,0.3891298624542849,-0.0973758529317829,-0.331019129974109,-1.3178224924403612,-1.9929255510794905,0.655332548135531,-0.6167620956580425,0.4533427598405765,-0.26647241726979976,-0.73047197816353,43.5,39.5,0
7444.0,Certificación UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,45.0,0.0,2.0,Nivel 3.7,79.0,0.0,100.0,VERDADERO,,2.0,1.0,9.0,3.828641396489095,"(3.29, 4.934]",1,0,-1.0429614885935867,1.754854912292604,0.8439068264813923,-0.6688446547199302,0.7210930292838362,-0.09952733105609723,-0.47690099407109304,-0.09952733105609723,0.27784633195889846,182.5,177.5,177.5,-11.0,-0.09952733105609723,1.886868315074979,5.0,Dominado por rareza,Rareza,1.157452788691043,0.7794752640484426,3.3217332103079085,0.35774963506849783,0.2821753605887091,0.17116739925186739,0.5110526221137135,0.2977600207297401,0.23252561432558658,0.0430301214505716,0.21621701272454819,134.0,175.0,1.8648680508981927,0.3571428571428571,1.7109582859273362,0.8995526885103655,0.38570107871035375,-0.0973758529317829,-0.331019129974109,-1.0399413353815354,-1.9929255510794905,0.655332548135531,-0.5611858642462775,0.4533427598405765,-0.26647241726979976,-0.6610016888988237,66.0,55.0,0
7445.0,Credencial Escolar UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,15.0,0.0,1.0,Nivel 3.7,118.0,0.0,100.0,VERDADERO,,1.0,1.0,9.0,2.772588722239781,"(1.645, 3.29]",0,0,-1.3908733896522987,1.8846665238145945,0.9063330158789191,-1.0848430164208476,0.661026281106758,-0.24227018688668978,-0.7017114679929333,-0.24227018688668978,0.21717109421955372,44.5,41.5,41.5,2.0,-0.24227018688668978,2.2972064055312176,3.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,3.3217332103079085,0.35774963506849783,0.18293853110111424,0.17116739925186739,0.5110526221137135,0.2977600207297401,0.1841296772619491,0.03096171681174471,0.15572209139500134,98.0,131.0,1.6228883655800055,0.3571428571428571,1.468978600609149,0.5394674168749033,0.33340716058847597,-0.6876167590336074,-0.331019129974109,-1.3178224924403612,-1.9929255510794905,0.655332548135531,-0.7348102768784074,0.35410593035298166,-0.6481640977248074,-0.825894898277282,19.0,21.0,0
7446.0,Examen Toefl UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,20.0,0.0,1.0,Nivel 4.1,728.0,0.0,100.0,VERDADERO,,1.0,1.0,12.0,3.044522437723423,"(1.645, 3.29]",0,0,-1.3012860250986082,1.8846665238145945,0.9063330158789191,-1.0214474997012946,0.6701800732581964,-0.19747650460984456,-0.6390003128053501,-0.19747650460984456,0.24404730358566085,77.5,72.5,142.5,0.0,-0.19747650460984456,2.2076190409775274,65.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,3.6094152827596893,0.35774963506849783,0.18293853110111424,0.17116739925186739,0.5553128525877803,0.2977600207297401,0.2019404598121315,0.03582457886482708,0.17798556958272935,118.5,153.5,1.7119422783309175,0.1428571428571429,1.2994865686002801,0.8485923221993965,0.3783002838618919,-0.6876167590336074,-0.331019129974109,-1.2306214890165004,-2.8737156428835626,0.655332548135531,-0.8935280945544497,0.35410593035298166,-0.6481640977248074,-1.0242921703723349,7.5,7.5,0
7447.0,Examen de Competencia Profesional UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,20.0,0.0,1.0,Nivel 4.1,1036.0,0.0,100.0,VERDADERO,,1.0,1.0,12.0,3.044522437723423,"(1.645, 3.29]",0,0,-1.3012860250986082,1.8846665238145945,0.9063330158789191,-1.0214474997012946,0.6701800732581964,-0.19747650460984456,-0.6390003128053501,-0.19747650460984456,0.24404730358566085,77.5,72.5,142.5,0.0,-0.19747650460984456,2.2076190409775274,65.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,3.6094152827596893,0.35774963506849783,0.18293853110111424,0.17116739925186739,0.5553128525877803,0.2977600207297401,0.2019404598121315,0.03582457886482708,0.17798556958272935,118.5,153.5,1.7119422783309175,0.1428571428571429,1.2994865686002801,0.8485923221993965,0.3783002838618919,-0.6876167590336074,-0.331019129974109,-1.2306214890165004,-2.8737156428835626,0.655332548135531,-0.8935280945544497,0.35410593035298166,-0.6481640977248074,-1.0242921703723349,7.5,7.5,0
7448.0,Examen Extraordinario UPT,Secretaría de Educación Pública,Universidad Politécnica de Tulancingo,Calle 100 Huapalcalco 43629 Tulancingo De Bravo Tulancingo De Bravo,Social,20.0,0.0,1.0,Nivel 4.1,2446.0,0.0,100.0,VERDADERO,,1.0,1.0,12.0,3.044522437723423,"(1.645, 3.29]",0,0,-1.3012860250986082,1.8846665238145945,0.9063330158789191,-1.0214474997012946,0.6701800732581964,-0.19747650460984456,-0.6390003128053501,-0.19747650460984456,0.24404730358566085,77.5,72.5,142.5,0.0,-0.19747650460984456,2.2076190409775274,65.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,3.6094152827596893,0.35774963506849783,0.18293853110111424,0.17116739925186739,0.5553128525877803,0.2977600207297401,0.2019404598121315,0.03582457886482708,0.17798556958272935,118.5,153.5,1.7119422783309175,0.1428571428571429,1.2994865686002801,0.8485923221993965,0.3783002838618919,-0.6876167590336074,-0.331019129974109,-1.2306214890165004,-2.8737156428835626,0.655332548135531,-0.8935280945544497,0.35410593035298166,-0.6481640977248074,-1.0242921703723349,7.5,7.5,0
7449.0,Recurso de Revocación Estatal,Secretaría de Hacienda,Secretaría de Hacienda,Calle 118-A Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,129600.0,0.0,3.0,Nivel 4.2,16.0,0.0,100.0,FALSO,,3.0,0.0,13.0,11.772215778919925,"(11.514, 13.159]",1,0,1.574014096035578,3.003279479189374,1.444272137010033,-0.44999385282922455,0.7526932883612307,1.5091431165228055,1.5350915083279144,1.5091431165228055,1.4831947247176966,636.0,636.0,636.0,-6.0,1.5091431165228055,-0.12974195902554486,0.0,default,Mixto,1.157452788691043,0.7794752640484426,4.708027571427799,1.2014696741078175,0.2821753605887091,0.17116739925186739,0.7243356654578548,1.0,0.7373643083642474,0.16017234034556643,0.6717053854553092,661.0,656.0,2.686821541821237,0.0714285714285714,2.0339144477919535,0.01792046922819523,0.2576647308770958,-0.0973758529317829,-0.331019129974109,2.091698442304345,-3.167312340151587,-1.5236481744151096,-0.6055314110336486,0.4533427598405765,-0.26647241726979976,-0.7164336223830378,50.0,44.0,0
7463.0,Historial Académico UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,Social,70.0,0.0,1.0,Nivel 3.7,30.0,0.0,100.0,VERDADERO,,1.0,1.0,9.0,4.2626798770413155,"(3.29, 4.934]",0,0,-0.8999694233456106,1.754854912292604,0.8439068264813923,-0.5676578868274701,0.7357035678470112,-0.028031298432109164,-0.37680654839750966,-0.028031298432109164,0.3207439515332913,209.5,204.5,204.5,9.0,-0.028031298432109164,1.7438762498270028,5.0,Dominado por rareza,Rareza,0.7503940547476008,0.7794752640484426,3.3217332103079085,0.35774963506849783,0.18293853110111424,0.17116739925186739,0.5110526221137135,0.2977600207297401,0.22697745495286523,0.043275611216589786,0.2092818135086465,127.0,167.0,1.837127254034586,0.3571428571428571,1.6832174890637295,0.5040319470560668,0.32826099187988056,-0.6876167590336074,-0.331019129974109,-0.9007581856885798,-1.9929255510794905,0.655332548135531,-0.6513974155280511,0.35410593035298166,-0.6481640977248074,-0.7216288215893367,33.0,42.0,0
7467.0,Titulación Nivel Licenciatura/Ingeniería y Posgrado UPP,Secretaría de Educación Pública,Universidad Politécnica de Pachuca,Carretera S/N Santa Barbara 43830 Rancho Luna Zempoala,Social,40.0,4.0,7.0,Nivel 3.9,200.0,0.0,100.0,VERDADERO,,11.0,1.0,11.0,3.713572066704308,"(3.29, 4.934]",3,4,-1.080870572349693,1.754854912292604,0.8439068264813923,-0.6956706023862763,0.7172195826757835,-0.11848187293415036,-0.5034373527003673,-0.11848187293415036,0.2664736068320666,179.0,174.0,174.0,-102.0,-0.11848187293415036,1.9247773988310852,5.0,Dominado por rareza,Rareza,2.8622008809294686,4.553876891600541,4.197201947661808,0.35774963506849783,0.6977758173332946,1.0,0.6457445330760089,0.2977600207297401,0.5045596996409787,0.09197682808018341,0.5562596193687883,595.0,635.0,3.2250384774751533,0.2142857142857143,2.7935796586848585,5.129489971511771,1.0,2.3745329276275617,4.854478729886822,-1.0768406253526173,-2.5801189456155385,0.655332548135531,0.8454769269363519,1.6977758173332946,4.519953624158047,0.37958165033135555,636.0,534.0,3
7477.0,Recurso de Revocación Federal,Secretaría de Hacienda,Secretaría de Hacienda,Calle 118-A Centro 42000 Pachuca De Soto Pachuca De Soto,Ambos,129600.0,0.0,3.0,,66.0,0.0,100.0,FALSO,,3.0,0.0,0.0,11.772215778919925,"(11.514, 13.159]",1,0,1.574014096035578,3.003279479189374,1.444272137010033,-0.44999385282922455,0.7526932883612307,1.5091431165228055,1.5350915083279144,1.5091431165228055,1.4831947247176966,636.0,636.0,636.0,20.0,1.5091431165228055,-0.12974195902554486,0.0,default,Mixto,1.157452788691043,0.7794752640484426,1.157452788691043,1.2014696741078175,0.2821753605887091,0.17116739925186739,0.1780754940817648,1.0,0.6281122740890294,0.13193089042210965,0.5351403426112867,648.0,620.0,2.140561370445147,1.0,2.962485876363382,-1.3537262364453364,0.0584653018283821,-0.0973758529317829,-0.331019129974109,2.091698442304345,0.6494447243327263,-1.5236481744151096,0.15782000186321402,0.4533427598405765,-0.26647241726979976,0.23775564373804048,443.0,463.0,2
