Tramite,Secretaria,Dependencia,Tiempo_en_minutos,CONTEO_NETO,N_FORMATOS_FINAL,nivel_digitalizacion,costo,cluster,indice_z
Certificado Parcial de Estudios UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,7200.0,1.0,0.0,Nivel 3.9,1.0,0,-0.4546959918121821
Cursos de Verano (asignaturas) ITESHU.,Secretaría de Educación Pública,Instituto Tecnológico Superior de Huichapan,21600.0,1.0,0.0,Nivel 1,1.0,1,0.17286859857349932
Constancia de estudios o Constancia de estudios con calificaciones UPE,Secretaría de Educación Pública,Universidad Politécnica de la Energía,4320.0,1.0,0.0,Nivel 1,1.0,1,0.09974204231130794
Expedición de finiquito o Constancia de no adeudo,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,20.0,3.0,1.0,Nivel 1,1.0,1,-0.1213371223221793
Inscripción UTMIR,Secretaría de Educación Pública,Universidad Tecnológica de Mineral de la Reforma,15.0,5.0,0.0,Nivel 3.1,1.0,1,-0.02962069449184146
Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,25.0,4.0,1.0,Nivel 1,1.0,1,0.12718560643649854
Derecho de Preferencia,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,25.0,4.0,1.0,,1.0,1,0.18590494589010334
Servicio: Asesoría especializada en Acompañamiento y Desarrollo Empresarial,Secretaría de Desarrollo Económico,Instituto Hidalguense de Competitividad Empresarial,1440.0,0.0,0.0,,0.0,2,-0.40224166154945895
Constancia Escolar UPH,Secretaría de Educación Pública,Universidad Politécnica de Huejutla,30.0,1.0,0.0,Nivel 2,1.0,1,-0.2935094267213731
Elaboración de Escrituras - Comisión Estatal de Vivienda,Secretaría de Infraestructura Pública y Desarrollo Urbano Sostenible,Comisión Estatal de Vivienda,40.0,4.0,1.0,Nivel 1,1.0,1,0.1442444148551695
Revalidación de Estudios de Educación Básica,Secretaría de Educación Pública,Instituto Hidalguense de Educación,2880.0,3.0,1.0,Nivel 2,1.0,1,0.08682609603605308
Escuelas de Iniciación Técnico Deportivas del Instituto Hidalguense del Deporte,Secretaría de Educación Pública,Instituto Hidalguense del Deporte,10.0,3.0,1.0,Nivel 2,1.0,1,-0.22152725734984932
Credencial Escolar UTMZ,Secretaría de Educación Pública,Universidad Tecnológica Minera de Zimapán,1440.0,1.0,0.0,Nivel 1,1.0,1,-0.025164856492935584
Captación de Leche en Centros de Acopio.,Secretaría de Agricultura y Desarrollo Rural,Secretaría de Agricultura y Desarrollo Rural,1440.0,0.0,1.0,Nivel 2,0.0,2,-0.511450283434416
"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,Nivel 1,1.0,1,0.0912972331392631
"Publicación en el Periódico Oficial, que realizan los Municipios de instrumentos legales.",Secretaría de Gobierno,Secretaría de Gobierno,255.0,0.0,0.0,,1.0,1,0.15001657259286788
Constancias de estudios con calificaciones de Primaria General,Secretaría de Educación Pública,Instituto Hidalguense de Educación,45.0,1.0,1.0,Nivel 2,0.0,2,-0.6957647567792841
